asn|vendor_id|sku_id|po_number|ordered_quantity|order_date|received_quantity|operation
asn67||67|po_67|71|2022-04-27|INVALID|INSERT
asn68||68|po_68|72|2022-04-28|INVALID|INSERT
asn69||69|po_69|73|2022-04-29|INVALID|INSERT
asn70||70|po_70|74|2022-04-30|INVALID|INSERT
asn71||71|po_71|75|2022-05-01|INVALID|INSERT
asn72||72|po_72|76|2022-05-02|INVALID|INSERT
asn73||73|po_73|77|2022-05-03|INVALID|INSERT
asn74||74|po_74|78|2022-05-04|INVALID|INSERT
asn75||75|po_75|79|2022-05-05|INVALID|INSERT
asn76||76|po_76|80|2022-05-06|INVALID|INSERT
asn77||77|po_77|81|2022-05-07|INVALID|INSERT
asn78||78|po_78|82|2022-05-08|INVALID|INSERT
asn79||79|po_79|83|2022-05-09|INVALID|INSERT
asn80||80|po_80|84|2022-05-10|INVALID|INSERT
asn81||81|po_81|85|2022-05-11|INVALID|INSERT
asn82||82|po_82|86|2022-05-12|INVALID|INSERT
asn83||83|po_83|87|2022-05-13|INVALID|INSERT
asn84||84|po_84|88|2022-05-14|INVALID|INSERT
asn85||85|po_85|89|2022-05-15|INVALID|INSERT
asn86||86|po_86|90|2022-05-16|INVALID|INSERT
asn87||87|po_87|91|2022-05-17|INVALID|INSERT
asn88||88|po_88|92|2022-05-18|INVALID|INSERT
asn89||89|po_89|93|2022-05-19|INVALID|INSERT
asn90||90|po_90|94|2022-05-20|INVALID|INSERT
asn91||91|po_91|95|2022-05-21|INVALID|INSERT
asn92||92|po_92|96|2022-05-22|INVALID|INSERT
asn93||93|po_93|97|2022-05-23|INVALID|INSERT
asn94||94|po_94|98|2022-05-24|INVALID|INSERT
asn95||95|po_95|99|2022-05-25|INVALID|INSERT
asn96||96|po_96|100|2022-05-26|INVALID|INSERT
asn97||97|po_97|101|2022-05-27|INVALID|INSERT
asn98||98|po_98|102|2022-05-28|INVALID|INSERT
asn99||99|po_99|103|2022-05-29|INVALID|INSERT
asn100||100|po_100|104|2022-05-30|INVALID|INSERT
